"","Location","Circulation per Capita","Circulation per Borrower","Circulation per Staff FTE","Circulation per Visit","Circulation per Hour Open","Total Operating Expenditures per Circulation","% of Non-English Circulation to Total Circulation","% of Childrens Circulation to Total Circulation","Circulation of Childrens Materials per Child Borrower","Circulation of Electronic Materials","Physical Item Circulation","Circulation of Childrens Materials","Circulation of Non English Materials","Successful Retrieval of Electronic Information","Total Electronic Content Use","Total Annual Circulation","Total Content Use"
"115","ORLAND FREE LIBRARY",0,0,0,0,0,0,0,0,5.25863,4463,20909,7462,407,NA,4463,NA,25372
"116","OXNARD PUBLIC LIBRARY",0,0,0,0,0,0,0,0,2.21164,6789,80488,46190,7937,3793,10582,NA,91070
"117","PACIFIC GROVE PUBLIC LIBRARY",0,0,0,0,0,0,NA,0,18.85903,26987,57198,42810,NA,9987,36974,NA,94172
"118","PALM SPRINGS PUBLIC LIBRARY",0,0,0,0,0,0,0,0,7.26538,53449,112658,9801,1074,37367,90816,NA,203474
"119","PALMDALE CITY LIBRARY",0,0,0,0,0,0,0,0,4.60862,7005,45123,21278,2114,9154,16159,NA,61282
"120","PALO VERDE VALLEY LIBRARY DISTRICT",0,0,0,0,0,0,0,0,3.312,0,18862,11125,29,0,0,NA,18862
"121","PALOS VERDES LIBRARY DISTRICT",0,0,0,0,0,0,0,0,25.7175,128033,292813,165955,8703,134748,262781,NA,555594
"122","PASADENA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.33944,122880,464985,238743,12017,1951,124831,NA,589816
"123","PASO ROBLES CITY LIBRARY",0,0,0,0,0,0,0,0,29.26437,54609,176223,77375,5735,11926,66535,NA,242758
"124","PLACENTIA LIBRARY DISTRICT",0,0,0,0,0,0,0,0,5.87139,120553,121086,70668,2162,62106,182659,NA,303745
"125","PLACER COUNTY LIBRARY",0,0,0,0,0,0,0,0,10.01106,144427,264952,113115,1869,NA,144427,NA,409379
"126","PLEASANTON PUBLIC LIBRARY",0,0,0,0,0,0,0,0,37.47505,248074,463420,328956,1587,193824,441898,NA,905318
"127","PLUMAS COUNTY LIBRARY",0,0,0,0,0,0,0,0,5.22271,7223,33019,8372,95,NA,7223,NA,40242
"128","POMONA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.62757,NA,3021,2750,214,NA,NA,NA,3021
"129","PORTERVILLE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.59509,6722,3009,1502,286,1197,7919,NA,10928
"130","RANCHO CUCAMONGA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,6.42215,82470,331315,204886,2586,477389,559859,NA,891174
"131","RANCHO MIRAGE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,18.56166,72076,228110,74358,217,161856,233932,NA,462042
"132","REDWOOD CITY PUBLIC LIBRARY",0,0,0,0,0,0,0,0,16.39612,185938,411688,246614,12271,325969,511907,NA,923595
"133","RICHMOND PUBLIC LIBRARY",0,0,0,NA,0,0,0,0,1.73283,18498,32327,16474,2362,505,19003,NA,51330
"134","RIVERSIDE COUNTY LIBRARY SYSTEM",0,0,0,0,0,0,0,0,11.77711,302335,1116319,546022,22453,233589,535924,NA,1652243
"135","RIVERSIDE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.81364,89851,136222,68153,3418,45412,135263,NA,271485
"136","ROSEVILLE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,22.70183,168530,759982,443049,2712,18443,186973,NA,946955
"137","SACRAMENTO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,7.99203,3201252,2263100,1163184,31057,3323986,6525238,NA,8788338
"138","SALINAS PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.86656,47093,38945,19378,3470,28667,75760,NA,114705
"139","SAN ANSELMO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,24.68259,41855,43008,24806,535,12348,54203,NA,97211
"140","SAN BERNARDINO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.06722,9171,19134,3350,106,12475,21646,NA,40780
"141","SAN BRUNO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,6.42944,40456,165059,29659,2048,16637,57093,NA,222152
"142","SAN DIEGO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,11.95884,677505,2928861,1501289,77190,1835379,2512884,NA,5441745
"143","SAN FRANCISCO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,13.81804,6169114,2190327,974835,162580,10175198,16344312,NA,18534639
"144","SAN JOSE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,12.89011,1377184,2336027,1379745,158245,1083534,2460718,NA,4796745
"145","SAN JUAN BAUTISTA CITY LIBRARY",0,NA,NA,0,0,0,0,0,1.87833,NA,973,494,13,NA,NA,NA,973
