"","Location","Total Operating Income","Operating Income per Capita","Operating Income from Local Government per Capita","Operating Income from State Government per Capita","Operating Income from Federal Government per Capita","% of Operating Income from Local Government","% of Operating Income from State Government","% of Operating Income from Federal Government","% of Operating Income from Other Sources"
"124","TULARE PUBLIC LIBRARY",1601720,23.13087,22.95483,0,0,0.9923894,0,0,0.0076106
"125","CALABASAS CITY LIBRARY",1595681,65.55528,65.0219,0,0.20541,0.9918637,0,0.0031335,0.0050029
"126","SOUTH PASADENA PUBLIC LIBRARY",1557628,60.68365,59.86758,0.07792,0,0.986552,0.001284,0,0.012164
"127","SUTTER COUNTY LIBRARY",1524140,15.04744,12.13343,0.90265,1.47539,0.8063452,0.0599873,0.0980494,0.0356181
"128","AZUSA CITY LIBRARY",1514062,30.53345,27.91887,0.85708,0.95083,0.9143701,0.0280702,0.0311407,0.026419
"129","MONTEREY PUBLIC LIBRARY",1512491,53.2905,45.75608,0.14936,0,0.858616,0.0028027,0,0.1385813
"130","LODI PUBLIC LIBRARY",1499792,21.81484,20.41314,1.30554,0,0.9357458,0.0598463,0,0.0044079
"131","PORTERVILLE PUBLIC LIBRARY",1478868,24.8253,23.40087,1.42443,0,0.9426217,0.0573783,0,0
"132","CROWELL PUBLIC LIBRARY",1437059,110.87563,102.35807,0,0,0.9231792,0,0,0.0768208
"133","SAN BENITO COUNTY FREE LIBRARY",1429762,23.29551,20.71516,1.06089,1.06736,0.889234,0.0455404,0.0458181,0.0194074
"134","HEMET PUBLIC LIBRARY",1408777,16.66699,15.79651,0.33809,0.17746,0.9477724,0.020285,0.0106475,0.0212951
"135","PALMDALE CITY LIBRARY",1404110,8.99644,8.56425,0,0.2177,0.9519603,0,0.024199,0.0238407
"136","MONO COUNTY FREE LIBRARY",1355023,101.91974,88.20669,0,0,0.8654525,0,0,0.1345475
"137","COLUSA COUNTY FREE LIBRARY",1205152,54.169,48.07655,1.73732,0,0.8875287,0.0320723,0,0.080399
"138","BANNING LIBRARY DISTRICT",1196555,34.28033,30.95966,0,0,0.9031319,0,0,0.0968681
"139","PASO ROBLES CITY LIBRARY",1167203,37.56325,37.30023,0,0,0.9929978,0,0,0.0070022
"140","LAKE COUNTY LIBRARY",1150884,17.99944,15.0295,1.6822,0.91946,0.8349981,0.0934586,0.0510825,0.0204608
"141","ST. HELENA PUBLIC LIBRARY",1129011,185.99852,154.88155,1.2173,0,0.8327031,0.0065447,0,0.1607522
"142","UPLAND PUBLIC LIBRARY",1114112,14.19016,13.63994,0.52474,0.02547,0.9612256,0.0369792,0.0017952,0
"143","MOORPARK CITY LIBRARY",1070520,29.75237,29.75237,0,0,1,0,0,0
"144","BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT",1044974,34.04822,29.03858,2.28165,0,0.8528662,0.0670122,0,0.0801216
"145","COVINA PUBLIC LIBRARY",1022425,20.93717,18.23437,1.46753,0.57916,0.8709089,0.0700922,0.0276617,0.0313373
"146","HARRISON MEMORIAL LIBRARY",1001167,248.8608,168.09694,1.11857,0,0.6754657,0.0044948,0,0.3200395
"147","COALINGA-HURON LIBRARY DISTRICT",916119,37.93139,35.09155,0.44228,0.53826,0.925132,0.0116601,0.0141903,0.0490176
"148","SAN ANSELMO PUBLIC LIBRARY",903349,71.1915,70.40342,0,0,0.9889301,0,0,0.0110699
"149","PACIFIC GROVE PUBLIC LIBRARY",887167,57.10395,53.98217,0.54712,0,0.9453316,0.0095811,0,0.0450873
"150","AMADOR COUNTY LIBRARY",880339,23.55296,22.31343,0.84081,0,0.9473725,0.0356987,0,0.0169287
"151","LINCOLN PUBLIC LIBRARY",870986,17.55171,15.61587,0.99895,0,0.8897066,0.0569148,0,0.0533786
"152","TUOLUMNE COUNTY LIBRARY",866875,16.21388,14.70347,0.88757,0,0.9068447,0.0547415,0,0.0384138
"153","VICTORVILLE CITY LIBRARY",849221,6.67784,6.18825,0.10223,0.28309,0.9266846,0.0153081,0.0423918,0.0156155
"154","YUBA COUNTY LIBRARY",843125,10.61777,9.97102,0.11527,0.01259,0.9390885,0.010856,0.0011861,0.0488694
"155","CALAVERAS COUNTY LIBRARY",813878,18.07172,12.6896,3.30023,0.77582,0.7021802,0.1826183,0.0429303,0.0722713
"156","POMONA PUBLIC LIBRARY",793606,5.24459,5.24459,0,0,1,0,0,0
"157","IMPERIAL COUNTY LIBRARY",793112,14.98219,8.67913,4.47075,0,0.5792965,0.2984043,0,0.1222992
"158","TEHAMA COUNTY LIBRARY",749854,11.47373,10.73927,0.33663,0.15301,0.9359875,0.029339,0.0133359,0.0213375
"159","SISKIYOU COUNTY FREE LIBRARY",731392,16.4988,10.55206,2.59774,2.94525,0.6395654,0.1574505,0.178513,0.0244711
"160","EL CENTRO PUBLIC LIBRARY",729663,16.21581,16.03691,0.1789,0,0.9889675,0.0110325,0,0
"161","SAUSALITO PUBLIC LIBRARY",683794,92.96995,71.69599,0.47179,0,0.7711738,0.0050746,0,0.2237516
"162","LARKSPUR PUBLIC LIBRARY",663141,54.38257,52.00057,0.50697,0,0.9561994,0.0093223,0,0.0344783
"163","INYO COUNTY FREE LIBRARY",602002,32.43021,30.82751,1.51829,0,0.9505799,0.0468171,0,0.002603
"164","PLUMAS COUNTY LIBRARY",585895,27.50035,23.65717,2.93912,0.51293,0.8602497,0.1068758,0.0186518,0.0142227
"165","CAMARENA MEMORIAL PUBLIC LIBRARY",583051,14.40165,12.95371,1.3921,0.05585,0.8994599,0.0966622,0.0038779,0
"166","COLTON PUBLIC LIBRARY",576989,10.64595,9.02365,1.06002,0.56227,0.8476141,0.0995704,0.0528156,0
"167","LOOMIS LIBRARY & COMMUNITY LEARNING CENTER",482563,70.88176,70.88176,0,0,1,0,0,0
"168","ORLAND FREE LIBRARY",463030,28.96291,28.96291,0,0,1,0,0,0
"169","SIERRA MADRE PUBLIC LIBRARY",421599,39.56818,33.06598,0.46851,1.09076,0.8356709,0.0118406,0.0275665,0.124922
"170","IMPERIAL PUBLIC LIBRARY",421020,20.75115,11.91399,6.28518,0.24644,0.5741366,0.3028835,0.0118759,0.111104
"171","IRWINDALE PUBLIC LIBRARY",416020,288.70229,282.3109,6.23109,0,0.9778616,0.0215831,0,0.0005553
"172","BRAWLEY PUBLIC LIBRARY",403120,14.75225,13.54461,1.20764,0,0.9181385,0.0818615,0,0
"173","PALO VERDE VALLEY LIBRARY DISTRICT",392620,17.62129,17.28971,0,0,0.9811828,0,0,0.0188172
"174","SIGNAL HILL PUBLIC LIBRARY",374602,32.24602,32.07386,0,0.17216,0.994661,0,0.005339,0
